model_id,context_limit,output_limit,name,description
openrouter/sherlock-dash-alpha,1840000,64000,Sherlock Dash Alpha,This is a cloaked model provided to the community to gather feedback. A frontier non-reasoning model
openrouter/sherlock-think-alpha,1840000,64000,Sherlock Think Alpha,This is a cloaked model provided to the community to gather feedback. A frontier reasoning model tha
openai/gpt-5.1,400000,128000,OpenAI: GPT-5.1,"GPT-5.1 is the latest frontier-grade model in the GPT-5 series, offering stronger general-purpose re"
openai/gpt-5.1-chat,128000,16384,OpenAI: GPT-5.1 Chat,"GPT-5.1 Chat (AKA Instant is the fast, lightweight member of the 5.1 family, optimized for low-laten"
openai/gpt-5.1-codex,400000,128000,OpenAI: GPT-5.1-Codex,GPT-5.1-Codex is a specialized version of GPT-5.1 optimized for software engineering and coding work
openai/gpt-5.1-codex-mini,400000,100000,OpenAI: GPT-5.1-Codex-Mini,GPT-5.1-Codex-Mini is a smaller and faster version of GPT-5.1-Codex
kwaipilot/kat-coder-pro:free,256000,32000,Kwaipilot: KAT-Coder-Pro V1 (free),KAT-Coder-Pro V1 is KwaiKAT's most advanced agentic coding model in the KAT-Coder series. Designed s
moonshotai/kimi-linear-48b-a3b-instruct,1048576,1048576,MoonshotAI: Kimi Linear 48B A3B Instruct,Kimi Linear is a hybrid linear attention architecture that outperforms traditional full attention me
moonshotai/kimi-k2-thinking,262144,16384,MoonshotAI: Kimi K2 Thinking,"Kimi K2 Thinking is Moonshot AI’s most advanced open reasoning model to date, extending the K2 serie"
amazon/nova-premier-v1,1000000,32000,Amazon: Nova Premier 1.0,Amazon Nova Premier is the most capable of Amazon’s multimodal models for complex reasoning tasks an
perplexity/sonar-pro-search,200000,8000,Perplexity: Sonar Pro Search,"Exclusively available on the OpenRouter API, Sonar Pro's new Pro Search mode is Perplexity's most ad"
mistralai/voxtral-small-24b-2507,32000,,Mistral: Voxtral Small 24B 2507,"Voxtral Small is an enhancement of Mistral Small 3, incorporating state-of-the-art audio input capab"
openai/gpt-oss-safeguard-20b,131072,65536,OpenAI: gpt-oss-safeguard-20b,gpt-oss-safeguard-20b is a safety reasoning model from OpenAI built upon gpt-oss-20b. This open-weig
nvidia/nemotron-nano-12b-v2-vl:free,128000,128000,NVIDIA: Nemotron Nano 12B 2 VL (free),NVIDIA Nemotron Nano 2 VL is a 12-billion-parameter open multimodal reasoning model designed for vid
nvidia/nemotron-nano-12b-v2-vl,131072,,NVIDIA: Nemotron Nano 12B 2 VL,NVIDIA Nemotron Nano 2 VL is a 12-billion-parameter open multimodal reasoning model designed for vid
minimax/minimax-m2,204800,131072,MiniMax: MiniMax M2,"MiniMax-M2 is a compact, high-efficiency large language model optimized for end-to-end coding and ag"
liquid/lfm2-8b-a1b,32768,,LiquidAI/LFM2-8B-A1B,Model created via inbox interface
liquid/lfm-2.2-6b,32768,,LiquidAI/LFM2-2.6B,"LFM2 is a new generation of hybrid models developed by Liquid AI, specifically designed for edge AI "
ibm-granite/granite-4.0-h-micro,131000,,IBM: Granite 4.0 Micro,Granite-4.0-H-Micro is a 3B parameter from the Granite 4 family of models. These models are the late
deepcogito/cogito-v2-preview-llama-405b,32768,,Deep Cogito: Cogito V2 Preview Llama 405B,Cogito v2 405B is a dense hybrid reasoning model that combines direct answering capabilities with ad
openai/gpt-5-image-mini,400000,128000,OpenAI: GPT-5 Image Mini,"GPT-5 Image Mini combines OpenAI's advanced language capabilities, powered by [GPT-5 Mini](https://o"
anthropic/claude-haiku-4.5,200000,64000,Anthropic: Claude Haiku 4.5,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intellige"
qwen/qwen3-vl-8b-thinking,256000,32768,Qwen: Qwen3 VL 8B Thinking,"Qwen3-VL-8B-Thinking is the reasoning-optimized variant of the Qwen3-VL-8B multimodal model, designe"
qwen/qwen3-vl-8b-instruct,131072,32768,Qwen: Qwen3 VL 8B Instruct,"Qwen3-VL-8B-Instruct is a multimodal vision-language model from the Qwen3-VL series, built for high-"
openai/gpt-5-image,400000,128000,OpenAI: GPT-5 Image,[GPT-5](https://openrouter.ai/openai/gpt-5) Image combines OpenAI's most advanced language model wit
inclusionai/ring-1t,131072,131072,inclusionAI: Ring 1T,Ring-1T has undergone continued scaling with large-scale verifiable reward reinforcement learning (R
inclusionai/ling-1t,131072,131072,inclusionAI: Ling-1T,Ling-1T is a trillion-parameter open-weight large language model developed by inclusionAI and releas
openai/o3-deep-research,200000,100000,OpenAI: o3 Deep Research,"o3-deep-research is OpenAI's advanced model for deep research, designed to tackle complex, multi-ste"
openai/o4-mini-deep-research,200000,100000,OpenAI: o4 Mini Deep Research,"o4-mini-deep-research is OpenAI's faster, more affordable deep research model—ideal for tackling com"
nvidia/llama-3.3-nemotron-super-49b-v1.5,131072,,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,"Llama-3.3-Nemotron-Super-49B-v1.5 is a 49B-parameter, English-centric reasoning/chat model derived f"
baidu/ernie-4.5-21b-a3b-thinking,131072,65536,Baidu: ERNIE 4.5 21B A3B Thinking,"ERNIE-4.5-21B-A3B-Thinking is Baidu's upgraded lightweight MoE model, refined to boost reasoning dep"
google/gemini-2.5-flash-image,32768,32768,Google: Gemini 2.5 Flash Image (Nano Banana),"Gemini 2.5 Flash Image, a.k.a. ""Nano Banana,"" is now generally available. It is a state of the art i"
qwen/qwen3-vl-30b-a3b-thinking,131072,32768,Qwen: Qwen3 VL 30B A3B Thinking,Qwen3-VL-30B-A3B-Thinking is a multimodal model that unifies strong text generation with visual unde
qwen/qwen3-vl-30b-a3b-instruct,262144,,Qwen: Qwen3 VL 30B A3B Instruct,Qwen3-VL-30B-A3B-Instruct is a multimodal model that unifies strong text generation with visual unde
openai/gpt-5-pro,400000,128000,OpenAI: GPT-5 Pro,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, a"
z-ai/glm-4.6,202752,202752,Z.AI: GLM 4.6,"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The "
z-ai/glm-4.6:exacto,202752,,Z.AI: GLM 4.6 (exacto),"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The "
anthropic/claude-sonnet-4.5,1000000,64000,Anthropic: Claude Sonnet 4.5,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents"
deepseek/deepseek-v3.2-exp,163840,,DeepSeek: DeepSeek V3.2 Exp,DeepSeek-V3.2-Exp is an experimental large language model released by DeepSeek as an intermediate st
thedrummer/cydonia-24b-v4.1,131072,131072,TheDrummer: Cydonia 24B V4.1,"Uncensored and creative writing model based on Mistral Small 3.2 24B with good recall, prompt adhere"
relace/relace-apply-3,256000,128000,Relace: Relace Apply 3,Relace Apply 3 is a specialized code-patching LLM that merges AI-suggested edits straight into your 
google/gemini-2.5-flash-preview-09-2025,1048576,65536,Google: Gemini 2.5 Flash Preview 09-2025,"Gemini 2.5 Flash Preview September 2025 Checkpoint is Google's state-of-the-art workhorse model, spe"
google/gemini-2.5-flash-lite-preview-09-2025,1048576,65536,Google: Gemini 2.5 Flash Lite Preview 09-2025,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra"
qwen/qwen3-vl-235b-a22b-thinking,262144,262144,Qwen: Qwen3 VL 235B A22B Thinking,Qwen3-VL-235B-A22B Thinking is a multimodal model that unifies strong text generation with visual un
qwen/qwen3-vl-235b-a22b-instruct,262144,,Qwen: Qwen3 VL 235B A22B Instruct,Qwen3-VL-235B-A22B Instruct is an open-weight multimodal model that unifies strong text generation w
qwen/qwen3-max,256000,32768,Qwen: Qwen3 Max,"Qwen3-Max is an updated release built on the Qwen3 series, offering major improvements in reasoning,"
qwen/qwen3-coder-plus,128000,65536,Qwen: Qwen3 Coder Plus,Qwen3 Coder Plus is Alibaba's proprietary version of the Open Source Qwen3 Coder 480B A35B. It is a 
openai/gpt-5-codex,400000,128000,OpenAI: GPT-5 Codex,GPT-5-Codex is a specialized version of GPT-5 optimized for software engineering and coding workflow
deepseek/deepseek-v3.1-terminus,163840,163840,DeepSeek: DeepSeek V3.1 Terminus,DeepSeek-V3.1 Terminus is an update to [DeepSeek V3.1](/deepseek/deepseek-chat-v3.1) that maintains 
