id,name,provider,description,context_length,max_completion_tokens,input_price_per_million,output_price_per_million,is_free,supports_reasoning,supports_tools,supports_vision,supports_audio,supports_files,modality,input_modalities,output_modalities,tokenizer,is_moderated,created
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,ai21,"Jamba Large 1.7 is the latest model in the Jamba open family, offering improvements in grounding, instruction-following, and overall efficiency. Built on a hybrid SSM-Transformer architecture with a 2",256000,4096,2.0,8.0,False,False,True,False,False,False,text->text,text,text,Other,False,1754669020
ai21/jamba-mini-1.7,AI21: Jamba Mini 1.7,ai21,"Jamba Mini 1.7 is a compact and efficient member of the Jamba open model family, incorporating key improvements in grounding and instruction-following while maintaining the benefits of the SSM-Transfo",256000,4096,0.2,0.4,False,False,True,False,False,False,text->text,text,text,Other,False,1754670601
aion-labs/aion-1.0,AionLabs: Aion-1.0,aion-labs,"Aion-1.0 is a multi-model system designed for high performance across various tasks, including reasoning and coding. It is built on DeepSeek-R1, augmented with additional models and techniques such as",131072,32768,4.0,8.0,False,True,False,False,False,False,text->text,text,text,Other,False,1738697557
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,aion-labs,"Aion-1.0-Mini 32B parameter model is a distilled version of the DeepSeek-R1 model, designed for strong performance in reasoning domains such as mathematics, coding, and logic. It is a modified variant",131072,32768,0.7,1.4,False,True,False,False,False,False,text->text,text,text,Other,False,1738697107
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),aion-labs,"Aion-RP-Llama-3.1-8B ranks the highest in the character evaluation portion of the RPBench-Auto benchmark, a roleplaying-specific variant of Arena-Hard-Auto, where LLMs evaluate each other’s responses.",32768,32768,0.8,1.6,False,False,False,False,False,False,text->text,text,text,Other,False,1738696718
alfredpros/codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,alfredpros,A finetuned 7 billion parameters Code LLaMA - Instruct model to generate Solidity smart contract using 4-bit QLoRA finetuning provided by PEFT library.,4096,4096,0.8,1.2,False,False,False,False,False,False,text->text,text,text,Other,False,1744641874
alibaba/tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,alibaba,"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion total parameters activating only 3 billion per token. It's optimized for long-horizon, deep information-",131072,131072,0.09,0.4,False,True,True,False,False,False,text->text,text,text,Other,False,1758210804
allenai/olmo-2-0325-32b-instruct,AllenAI: Olmo 2 32B Instruct,allenai,OLMo-2 32B Instruct is a supervised instruction-finetuned variant of the OLMo-2 32B March 2025 base model. It excels in complex reasoning and instruction-following tasks across diverse benchmarks such,128000,0,0.05,0.2,False,False,False,False,False,False,text->text,text,text,Other,False,1741988556
allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,allenai,"Olmo 3 32B Think is a large-scale, 32-billion-parameter model purpose-built for deep reasoning, complex logic chains and advanced instruction-following scenarios. Its capacity enables strong performan",65536,65536,0.15,0.5,False,True,False,False,False,False,text->text,text,text,Other,False,1763758276
allenai/olmo-3-7b-instruct,AllenAI: Olmo 3 7B Instruct,allenai,"Olmo 3 7B Instruct is a supervised instruction-fine-tuned variant of the Olmo 3 7B base model, optimized for instruction-following, question-answering, and natural conversational dialogue. By leveragi",65536,65536,0.1,0.2,False,False,True,False,False,False,text->text,text,text,Other,False,1763758273
allenai/olmo-3-7b-think,AllenAI: Olmo 3 7B Think,allenai,"Olmo 3 7B Think is a research-oriented language model in the Olmo family designed for advanced reasoning and instruction-driven tasks. It excels at multi-step problem solving, logical inference, and m",65536,65536,0.12,0.2,False,True,False,False,False,False,text->text,text,text,Other,False,1763758270
allenai/olmo-3.1-32b-think,AllenAI: Olmo 3.1 32B Think,allenai,"Olmo 3.1 32B Think is a large-scale, 32-billion-parameter model designed for deep reasoning, complex multi-step logic, and advanced instruction following. Building on the Olmo 3 series, version 3.1 de",65536,65536,0.15,0.5,False,True,False,False,False,False,text->text,text,text,Other,False,1765907719
alpindale/goliath-120b,Goliath 120B,alpindale,"A large LLM created by combining two fine-tuned Llama 70B models into one 120B model. Combines Xwin and Euryale.

Credits to
- [@chargoddard](https://huggingface.co/chargoddard) for developing the fra",6144,1024,6.0,8.0,False,False,False,False,False,False,text->text,text,text,Llama2,False,1699574400
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads that can process text, images, and videos to generate text. 

Nova 2 Lite demonstrates standout capabilities in processing ",1000000,65535,0.3,2.5,False,True,True,True,False,True,text+image->text,"text,image,video,file",text,Nova,True,1764696672
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon,"Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing of image, video, and text inputs to generate text output. Amazon Nova Lite can handle real-time cus",300000,5120,0.06,0.24,False,False,True,True,False,False,text+image->text,"text,image",text,Nova,True,1733437363
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,amazon,Amazon Nova Micro 1.0 is a text-only model that delivers the lowest latency responses in the Amazon Nova family of models at a very low cost. With a context length of 128K tokens and optimized for spe,128000,5120,0.035,0.14,False,False,True,False,False,False,text->text,text,text,Nova,True,1733437237
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,amazon,Amazon Nova Premier is the most capable of Amazon’s multimodal models for complex reasoning tasks and for use as the best teacher for distilling custom models.,1000000,32000,2.5,12.5,False,False,True,True,False,False,text+image->text,"text,image",text,Nova,True,1761950332
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,amazon,"Amazon Nova Pro 1.0 is a capable multimodal model from Amazon focused on providing a combination of accuracy, speed, and cost for a wide range of tasks. As of December 2024, it achieves state-of-the-a",300000,5120,0.8,3.2,False,False,True,True,False,False,text+image->text,"text,image",text,Nova,True,1733436303
anthracite-org/magnum-v4-72b,Magnum v4 72B,anthracite-org,"This is a series of models designed to replicate the prose quality of the Claude 3 models, specifically Sonnet(https://openrouter.ai/anthropic/claude-3.5-sonnet) and Opus(https://openrouter.ai/anthrop",16384,2048,3.0,5.0,False,False,False,False,False,False,text->text,text,text,Qwen,False,1729555200
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,anthropic,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https:/",200000,4096,0.25,1.25,False,False,True,True,False,False,text+image->text,"text,image",text,Claude,True,1710288000
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,anthropic,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for d",200000,8192,0.8,4.0,False,False,True,True,False,False,text+image->text,"text,image",text,Claude,True,1730678400
anthropic/claude-3.5-haiku-20241022,Anthropic: Claude 3.5 Haiku (2024-10-22),anthropic,"Claude 3.5 Haiku features enhancements across all skill sets including coding, tool use, and reasoning. As the fastest model in the Anthropic lineup, it offers rapid response times suitable for applic",200000,8192,0.8,4.0,False,False,True,True,False,True,text+image->text,"text,image,file",text,Claude,False,1730678400
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,anthropic,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher",200000,8192,6.0,30.0,False,False,True,True,False,True,text+image->text,"text,image,file",text,Claude,True,1729555200
anthropic/claude-3.7-sonnet,Anthropic: Claude 3.7 Sonnet,anthropic,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rap",200000,64000,3.0,15.0,False,True,True,True,False,True,text+image->text,"text,image,file",text,Claude,False,1740422110
anthropic/claude-3.7-sonnet:thinking,Anthropic: Claude 3.7 Sonnet (thinking),anthropic,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rap",200000,64000,3.0,15.0,False,True,True,True,False,True,text+image->text,"text,image,file",text,Claude,False,1740422110
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,anthropic,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s perfor",200000,64000,1.0,5.0,False,True,True,True,False,False,text+image->text,"image,text",text,Claude,True,1760547638
anthropic/claude-opus-4,Anthropic: Claude Opus 4,anthropic,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software",200000,32000,15.0,75.0,False,True,True,True,False,True,text+image->text,"image,text,file",text,Claude,True,1747931245
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,anthropic,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance in coding, reasoning, and agentic tasks. It achieves 74.5% on SWE-bench Verified and shows notable ga",200000,0,15.0,75.0,False,True,True,True,False,True,text+image->text,"image,text,file",text,Claude,True,1754411591
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,anthropic,"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, agentic workflows, and long-horizon computer use. It offers strong multimodal capabilities, competit",200000,32000,5.0,25.0,False,True,True,True,False,True,text+image->text,"file,image,text",text,Claude,True,1764010580
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,anthropic,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the",1000000,64000,3.0,15.0,False,True,True,True,False,True,text+image->text,"image,text,file",text,Claude,False,1747930371
anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,anthropic,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents and coding workflows. It delivers state-of-the-art performance on coding benchmarks such as SWE-ben",1000000,64000,3.0,15.0,False,True,True,True,False,True,text+image->text,"text,image,file",text,Claude,False,1759161676
arcee-ai/coder-large,Arcee AI: Coder Large,arcee-ai,"Coder‑Large is a 32 B‑parameter offspring of Qwen 2.5‑Instruct that has been further trained on permissively‑licensed GitHub, CodeSearchNet and synthetic bug‑fix corpora. It supports a 32k context win",32768,0,0.5,0.8,False,False,False,False,False,False,text->text,text,text,Other,False,1746478663
arcee-ai/maestro-reasoning,Arcee AI: Maestro Reasoning,arcee-ai,"Maestro Reasoning is Arcee's flagship analysis model: a 32 B‑parameter derivative of Qwen 2.5‑32 B tuned with DPO and chain‑of‑thought RL for step‑by‑step logic. Compared to the earlier 7 B preview, t",131072,32000,0.9,3.3,False,False,False,False,False,False,text->text,text,text,Other,False,1746481269
arcee-ai/spotlight,Arcee AI: Spotlight,arcee-ai,"Spotlight is a 7‑billion‑parameter vision‑language model derived from Qwen 2.5‑VL and fine‑tuned by Arcee AI for tight image‑text grounding tasks. It offers a 32 k‑token context window, enabling rich ",131072,65537,0.18,0.18,False,False,False,True,False,False,text+image->text,"image,text",text,Other,False,1746481552
arcee-ai/trinity-mini,Arcee AI: Trinity Mini,arcee-ai,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 experts with 8 active per token. Engineered for efficient reasoning over long contexts (131k) with ro,131072,131072,0.045,0.15,False,True,True,False,False,False,text->text,text,text,Other,False,1764601720
arcee-ai/trinity-mini:free,Arcee AI: Trinity Mini (free),arcee-ai,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 experts with 8 active per token. Engineered for efficient reasoning over long contexts (131k) with ro,131072,0,0.0,0.0,True,True,True,False,False,False,text->text,text,text,Other,False,1764601720
arcee-ai/virtuoso-large,Arcee AI: Virtuoso Large,arcee-ai,"Virtuoso‑Large is Arcee's top‑tier general‑purpose LLM at 72 B parameters, tuned to tackle cross‑domain reasoning, creative writing and enterprise QA. Unlike many 70 B peers, it retains the 128 k cont",131072,64000,0.75,1.2,False,False,True,False,False,False,text->text,text,text,Other,False,1746478885
baidu/ernie-4.5-21b-a3b,Baidu: ERNIE 4.5 21B A3B,baidu,"A sophisticated text-based Mixture-of-Experts (MoE) model featuring 21B total parameters with 3B activated per token, delivering exceptional multimodal understanding and generation through heterogeneo",120000,8000,0.07,0.28,False,False,True,False,False,False,text->text,text,text,Other,False,1755034167
baidu/ernie-4.5-21b-a3b-thinking,Baidu: ERNIE 4.5 21B A3B Thinking,baidu,"ERNIE-4.5-21B-A3B-Thinking is Baidu's upgraded lightweight MoE model, refined to boost reasoning depth and quality for top-tier performance in logical puzzles, math, science, coding, text generation, ",131072,65536,0.07,0.28,False,True,False,False,False,False,text->text,text,text,Other,False,1760048887
baidu/ernie-4.5-300b-a47b,Baidu: ERNIE 4.5 300B A47B ,baidu,ERNIE-4.5-300B-A47B is a 300B parameter Mixture-of-Experts (MoE) language model developed by Baidu as part of the ERNIE 4.5 series. It activates 47B parameters per token and supports text generation i,123000,12000,0.28,1.1,False,False,False,False,False,False,text->text,text,text,Other,False,1751300139
baidu/ernie-4.5-vl-28b-a3b,Baidu: ERNIE 4.5 VL 28B A3B,baidu,"A powerful multimodal Mixture-of-Experts chat model featuring 28B total parameters with 3B activated per token, delivering exceptional text and vision understanding through its innovative heterogeneou",30000,8000,0.14,0.56,False,True,True,True,False,False,text+image->text,"text,image",text,Other,False,1755032836
baidu/ernie-4.5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,baidu,"ERNIE-4.5-VL-424B-A47B is a multimodal Mixture-of-Experts (MoE) model from Baidu’s ERNIE 4.5 series, featuring 424B total parameters with 47B active per token. It is trained jointly on text and image ",123000,16000,0.42,1.25,False,True,False,True,False,False,text+image->text,"image,text",text,Other,False,1751300903
bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B ,bytedance,"UI-TARS-1.5 is a multimodal vision-language agent optimized for GUI-based environments, including desktop interfaces, web browsers, mobile systems, and games. Built by ByteDance, it builds upon the UI",128000,2048,0.1,0.2,False,False,False,True,False,False,text+image->text,"image,text",text,Other,False,1753205056
bytedance-seed/seed-1.6,ByteDance Seed: Seed 1.6,bytedance-seed,Seed 1.6 is a general-purpose model released by the ByteDance Seed team. It incorporates multimodal capabilities and adaptive deep thinking with a 256K context window.,262144,32768,0.25,2.0,False,True,True,True,False,False,text+image->text,"image,text,video",text,Other,False,1766504997
bytedance-seed/seed-1.6-flash,ByteDance Seed: Seed 1.6 Flash,bytedance-seed,"Seed 1.6 Flash is an ultra-fast multimodal deep thinking model by ByteDance Seed, supporting both text and visual understanding. It features a 256k context window and can generate outputs of up to 16k",262144,16384,0.075,0.3,False,True,True,True,False,False,text+image->text,"image,text,video",text,Other,False,1766505011
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),cognitivecomputations,"Venice Uncensored Dolphin Mistral 24B Venice Edition is a fine-tuned variant of Mistral-Small-24B-Instruct-2501, developed by dphn.ai in collaboration with Venice.ai. This model is designed as an “unc",32768,0,0.0,0.0,True,False,False,False,False,False,text->text,text,text,Other,False,1752094966
cohere/command-a,Cohere: Command A,cohere,"Command A is an open-weights 111B parameter model with a 256k context window focused on delivering great performance across agentic, multilingual, and coding use cases.
Compared to other leading propr",256000,8192,2.5,10.0,False,False,False,False,False,False,text->text,text,text,Other,True,1741894342
cohere/command-r-08-2024,Cohere: Command R (08-2024),cohere,"command-r-08-2024 is an update of the [Command R](/models/cohere/command-r) with improved performance for multilingual retrieval-augmented generation (RAG) and tool use. More broadly, it is better at ",128000,4000,0.15,0.6,False,False,True,False,False,False,text->text,text,text,Cohere,True,1724976000
